link,Número do processo,Turma,Seção,Data da sessão,Data da publicação,Ementa,Número da decisão,Decisão,Nome do relator
http://acordaos.economia.gov.br/acordaos2/pdfs/processados/10935903062200924_6069455.pdf,10935.903062/2009-24,Primeira Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,Wed Sep 11 00:00:00 UTC 2019,Mon Oct 07 00:00:00 UTC 2019,"Assunto: Normas Gerais de Direito Tributário Ano-calendário: 2004 COMPENSAÇÃO. SALDO NEGATIVO DE IRPJ. NÃO COMPROVADO. CRÉDITO NÃO RECONHECIDO. Não restando comprovado o saldo negativo de IRPJ indicado como crédito, não se reconhece o direito creditório. DCOMP. AUSÊNCIA. COMPENSAÇÃO NÃO DECLARADA. Só se considera declarada a compensação efetuada mediante a entrega, pelo sujeito passivo, de declaração de compensação. Assunto: Imposto sobre a Renda Retido na Fonte - IRRF Ano-calendário: 2004 Ementa: IRRF. LUCRO REAL. DEDUÇÃO. PERÍODO DO CÔMPUTO DOS RENDIMENTOS. O imposto de renda retido na fonte sobre os rendimentos de aplicações financeiras será deduzido do devido no encerramento do período de apuração, no caso de pessoa jurídica tributada com base no lucro real.",1001-001.415,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário. (assinado digitalmente) Sérgio Abelson  Presidente (assinado digitalmente) Andréa Machado Millan - Relatora. Participaram da sessão de julgamento os conselheiros: Sérgio Abelson, Andréa Machado Millan, Jose Roberto Adelino da Silva e André Severo Chaves.",ANDREA MACHADO MILLAN
http://acordaos.economia.gov.br/acordaos2/pdfs/processados/10830007722200751_6001648.pdf,10830.007722/2007-51,Primeira Turma Ordinária da Segunda Câmara da Primeira Seção,Primeira Seção de Julgamento,Tue Mar 19 00:00:00 UTC 2019,Mon May 06 00:00:00 UTC 2019,"Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ Ano-calendário: 2002, 2003 EMBARGOS DE DECLARAÇÃO. Na existência de obscuridade, omissão ou contradição no acórdão proferido os embargos devem ser acolhidos. DECADÊNCIA. LANÇAMENTO POR HOMOLOGAÇÃO. PIS E COFINS. APURAÇÃO MENSAL. PAGAMENTO. Para os tributos sujeitos a lançamento por homologação, ocorrendo o pagamento antecipado por parte do contribuinte, o prazo decadencial para o lançamento de eventuais diferenças é de cinco anos a contar do fato gerador, conforme estabelece o §4° do art. 150 do CTN, não sendo admitida a constituição do crédito tributário relativo a fatos geradores anteriores a cinco anos da data da ciência da autuação. DECADÊNCIA. MULTA ISOLADA. ESTIMATIVAS NÃO RECOLHIDAS. A regra geral para contagem do prazo decadencial para constituição do crédito tributário, no caso de penalidades, está prevista no artigo 173, I do CTN, apresentando-se regular a exigência formalizada dentro deste prazo. FALTA DE DECLARAÇÃO/PAGAMENTO. LANÇAMENTO POR HOMOLOGAÇÃO. CONSTITUIÇÃO DE OFICIO. A falta de declaração em DCTF de tributos e contribuições federais na modalidade de lançamento por homologação, bem como a insuficiência de recolhimento de valores devidos, justifica sua exigência pela autoridade fiscal por meio do competente Auto de Infração, com os consectários legais para a constituição do crédito tributário. CONTRIBUIÇÕES PIS E COFINS. BASE DE CÁLCULO. RECEITAS FINANCEIRAS. NÃO INCLUSÃO. AÇÃO JUDICIAL. Restringindo-se os lançamentos às diferenças apuradas na DIPJ e não declaradas em DCTF, incabível a pretensão da impugnante de exclusão da base de cálculo das receitas financeiras, em razão da inconstitucionalidade declarada pelo STF, visto que tal parcela não integra as exigências, justamente por constar das DCTF como suspensa por medida judicial. MULTA DE OFÍCIO ISOLADA POR INSUFICIÊNCIA DE RECOLHIMENTO DAS ESTIMATIVAS MENSAIS. IRPJ e CSLL Cabível o lançamento da multa de ofício, exigida isoladamente, nos casos em que a pessoa jurídica optante pelo lucro real anual deixa de recolher total ou parcialmente as estimativas mensais de IRPJ e CSLL a que estava obrigada, no curso do ano calendário, ainda que em 31 de dezembro tenha apurado prejuízo fiscal. MULTA ISOLADA. CONCOMITÂNCIA. Súmula nº 105/CARF. A multa isolada por falta de recolhimento de estimativas, lançada com fundamento no art. 44 § 1º, inciso IV da Lei nº 9.430, de 1996, não pode ser exigida ao mesmo tempo da multa de ofício por falta de pagamento de IRPJ e CSLL apurado no ajuste anual, devendo subsistir a multa de ofício. Portanto, afastada a multa isolada por falta de recolhimento de estimativas relativa ao ano calendário de 2003. IMPOSTO DE RENDA RETIDO NA FONTE. COMPROVAÇÃO O imposto retido na fonte sobre quaisquer rendimentos ou ganhos de capital somente poderá ser compensado na declaração de pessoa física ou jurídica, quando for o caso, se o contribuinte possuir comprovante da retenção emitido em seu nome pela fonte pagadora. MATÉRIA SUMULADA. Súmula CARF nº 80: Na apuração do IRPJ, a pessoa jurídica poderá deduzir do imposto devido o valor do imposto de renda retido na fonte, desde que comprovada a retenção e o cômputo das receitas correspondentes na base de cálculo do imposto. IRRF DE PERÍODOS ANTERIORES AO DA APURAÇÃO DO IRPJ. Em decorrência da sistemática de tributação adotada, o imposto de renda retido na fonte (quando comprovado) incidente sobre as receitas que integram o lucro tributável e constitui antecipação do IRPJ é passível de dedução na apuração do valor a pagar ou para compor o saldo negativo do IRPJ do período de apuração em que houve a retenção. JUROS DE MORA SOBRE MULTA DE OFÍCIO. A obrigação tributária principal compreende tributo e multa de oficio proporcional. Sobre o crédito tributário constituído, incluindo a multa de oficio, incidem juros de mora, devidos à taxa Selic.",1201-002.762,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado em acolher em parte os Embargos, com efeitos infringentes, para exonerar a multa isolada referente a dezembro de 2002, por maioria. Vencidos os conselheiros Neudson Cavalcante Albuquerque e Lizandro Rodrigues de Sousa, que acolhiam em parte os embargos de declaração, para sanear a omissão relativa ao pedido de aproveitamento do pagamento de março de 2003, e para negar esse pedido, sem efeitos infringentes. Designado para redigir o voto vencedor o conselheiro Alexandre Evaristo Pinto. (assinado digitalmente) Lizandro Rodrigues de Sousa - Presidente. (assinado digitalmente) Neudson Cavalcante Albuquerque - Relator. (assinado digitalmente) Alexandre Evaristo Pinto - Redator Designado. Participaram da sessão de julgamento os conselheiros: Neudson Cavalcante Albuquerque, Luis Henrique Marotti Toselli, Allan Marcel Warwar Teixeira, Gisele Barra Bossa, Efigênio de Freitas Junior, Breno do Carmo Moreira Vieira (Suplente convocado), Alexandre Evaristo Pinto e Lizandro Rodrigues de Sousa (Presidente).",NEUDSON CAVALCANTE ALBUQUERQUE
http://acordaos.economia.gov.br/acordaos2/pdfs/processados/16306000156200851_6103286.pdf,16306.000156/2008-51,Segunda Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,Thu Nov 07 00:00:00 UTC 2019,Thu Dec 05 00:00:00 UTC 2019,"ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ) Ano-calendário: 2001 PER/DCOMP.ERROMATERIAL.PROVA. ComprovadooerromaterialnopreenchimentodaPER/DCOMP,oprocesso deve ser remetido à unidade de origem para verificar a consistência do crédito,superandooóbiceinicialmentereconhecido.",1002-000.917,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por voto de qualidade, em negar provimento ao recurso, vencidos os conselheiros Thiago Dayan da Luz Barros e Marcelo José Luz de Macedo (relator) que deram provimento parcial, para superar o óbice do erro material, reconhecendo que o saldo negativo utilizado para compensar estimativa de novembro de 2001 se refere ao ano-calendário de 1997, determinando, dessa forma, a remessa dos autos à DRF para análise do conteúdo do crédito pleiteado, à luz dessa nova realidade, oportunizando ao contribuinte, ainda, a apresentação de documentos e esclarecimentos. Designado para redigir o voto vencedor o conselheiro Rafael Zedral. (documento assinado digitalmente) Ailton Neves da Silva - Presidente (documento assinado digitalmente) Marcelo Jose Luz de Macedo - Relator (documento assinado digitalmente) Rafael Zedral  Relator designado. Participaram do presente julgamento os Conselheiros: Ailton Neves da Silva (Presidente), Rafael Zedral, Marcelo Jose Luz de Macedo e Thiago Dayan da Luz Barros",MARCELO JOSE LUZ DE MACEDO
http://acordaos.economia.gov.br/acordaos2/pdfs/processados/10140905391200956_6083081.pdf,10140.905391/2009-56,Primeira Turma Ordinária da Terceira Câmara da Primeira Seção,Primeira Seção de Julgamento,Wed Sep 18 00:00:00 UTC 2019,Tue Oct 29 00:00:00 UTC 2019,"Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ Ano-calendário: 2006 COMPENSAÇÃO TRIBUTÁRIA. SALDO NEGATIVO DO IMPOSTO. CRÉDITO INTEGRALMENTE DEFERIDO PELO DESPACHO DECISÓRIO. FALTA DE INTERESSE RECURSAL. Não se conhece do recurso em processo de compensação tributaria, cujo direito creditório pleiteado restara integralmente deferido pelo despacho decisório. Não cabe agitar no recurso voluntário apresentado matéria estranha ao direito creditório do ano-calendário objeto do pedido constante da DCOMP, cujo crédito já foi integralmente deferido e utilizado na compensação tributária homologada parcialmente, pois a competência do CARF restringe-se à análise da formação do direito creditório, sua liquidez e certeza, e o qual já foi deferido anteriormente. Logo, não se conhece do recurso por falta de interesse recursal.",1301-004.112,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do Colegiado, por unanimidade de votos, em não conhecer do recurso. (assinado digitalmente) Fernando Brasil de Oliveira Pinto - Presidente. (assinado digitalmente) Nelso Kichel - Relator. Participaram da sessão de julgamento os Conselheiros: Roberto Silva Junior, José Eduardo Dornelas Souza, Nelso Kichel, Marcelo José Luz de Macedo (suplente convocado), Giovana Pereira de Paiva Leite, Mauritânia Elvira de Sousa Mendonça (suplente convocado), Bianca Felícia Rothschild e Fernando Brasil de Oliveira Pinto (Presidente).",NELSO KICHEL
http://acordaos.economia.gov.br/acordaos2/pdfs/processados/10865003558200896_6017750.pdf,10865.003558/2008-96,1ª TURMA/CÂMARA SUPERIOR REC. FISCAIS,Câmara Superior de Recursos Fiscais,Wed Apr 10 00:00:00 UTC 2019,Tue Jun 04 00:00:00 UTC 2019,"Assunto: Imposto sobre a Renda de Pessoa Jurídica - IRPJ Ano-calendário: 1996 LUCRO REAL. CONTRIBUIÇÕES SOCIAIS LANÇADAS DE OFÍCIO. INDEDUTIBILIDADE. A dedutibilidade dos tributos segundo o regime de competência, para fins de apuração do Lucro Real, está restrita aos valores constantes da escrituração comercial, não alcançando os valores do PIS e da Cofins lançados de ofício sobre receitas omitidas. Assunto: Contribuição Social sobre o Lucro Líquido - CSLL Ano-calendário: 1995 BASE DE CÁLCULO DA CSLL. CONTRIBUIÇÕES SOCIAIS LANÇADAS DE OFÍCIO. INDEDUTIBILIDADE. A dedutibilidade dos tributos segundo o regime de competência, para fins de apuração da base de cálculo da CSLL, está restrita aos valores constantes da escrituração comercial, não alcançando os valores do PIS e da Cofins lançados de ofício sobre receitas omitidas.",9101-004.112,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em conhecer do Recurso Especial e, no mérito, por voto de qualidade, em dar-lhe provimento, vencidos os conselheiros Luis Fabiano Alves Penteado (relator), Cristiane Silva Costa, Demetrius Nichele Macei e Lívia De Carli Germano, que lhe negaram provimento. Designada para redigir o voto vencedor a conselheira Viviane Vidal Wagner. (assinado digitalmente) Adriana Gomes Rêgo - Presidente (assinado digitalmente) Luis Fabiano Alves Penteado - Relator (assinado digitalmente) Viviane Vidal Wagner - Redatora Designada Participaram da sessão de julgamento os conselheiros: André Mendes de Moura, Cristiane Silva Costa, Rafael Vidal de Araújo, Demetrius Nichele Macei, Viviane Vidal Wagner, Luis Fabiano Alves Penteado, Lívia De Carli Germano e Adriana Gomes Rêgo (Presidente).",LUIS FABIANO ALVES PENTEADO
http://acordaos.economia.gov.br/acordaos2/pdfs/processados/10880680655200990_6082157.pdf,10880.680655/2009-90,Primeira Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,Tue Oct 08 00:00:00 UTC 2019,Fri Oct 25 00:00:00 UTC 2019,,1001-000.154,"Vistos, relatados e discutidos os presentes autos. Resolvem os membros do Colegiado, por unanimidade de votos, converter o julgamento do recurso em diligência à Unidade de Origem, para que esta verifique a idoneidade da documentação anexada, notadamente os Livros Diário e Razão, confrontando os lançamentos neles efetuados com as obrigações acessórias apresentadas, visando a concluir sobre a certeza e liquidez do crédito de IRPJ alegado. (assinado digitalmente) Sérgio Abelson - Presidente. (assinado digitalmente) José Roberto Adelino da Silva - Relator. Participaram da sessão de julgamento os conselheiros: Sergio Abelson (presidente), Andrea Machado Millan, André Severo Chaves e Jose Roberto Adelino da Silva.",JOSE ROBERTO ADELINO DA SILVA
http://acordaos.economia.gov.br/acordaos2/pdfs/processados/10680721113200779_6024942.pdf,10680.721113/2007-79,Segunda Turma Ordinária da Terceira Câmara da Primeira Seção,Primeira Seção de Julgamento,Tue Jun 11 00:00:00 UTC 2019,Wed Jul 03 00:00:00 UTC 2019,"ASSUNTO: PROCESSO ADMINISTRATIVO FISCAL Ano-calendário: 2002 DECISÃO DE PRIMEIRA INSTÂNCIA. REFORMATIO IN PEJUS. NULIDADE PARCIAL. É parcialmente nula a decisão de primeira instância que, no julgamento de manifestação de inconformidade, agrava a situação do recorrente, ao analisar matéria não contida no apelo. ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ) Ano-calendário: 2002 DECLARAÇÃO DE COMPENSAÇÃO. SALDO NEGATIVO DE IRPJ. ESTIMATIVAS INSUFICIENTES. NÃO HOMOLOGAÇÃO. Não comprovada a extinção de todas as estimativas de IRPJ que compuseram o saldo negativo ao final do ano-calendário, deixa-se de homologar a compensação que utilizou o referido saldo, no montante correspondente à parcela não comprovada.",1302-003.615,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em acolher a preliminar de nulidade parcial do acórdão recorrido, suscitada de ofício pelo relator; e, no mérito, em negar provimento ao recurso voluntário, nos termos do relatório e voto do relator. (documento assinado digitalmente) Luiz Tadeu Matosinho Machado - Presidente (documento assinado digitalmente) Paulo Henrique Silva Figueiredo - Relator Participaram do presente julgamento os conselheiros Paulo Henrique Silva Figueiredo, Gustavo Guimarães da Fonseca, Ricardo Marozzi Gregório, Rogério Aparecido Gil, Maria Lúcia Miceli, Flávio Machado Vilhena Dias, Marcelo José Luz de Macedo (Suplente convocado) e Luiz Tadeu Matosinho Machado (Presidente).",PAULO HENRIQUE SILVA FIGUEIREDO
http://acordaos.economia.gov.br/acordaos2/pdfs/processados/10980721260201736_5948125.pdf,10980.721260/2017-36,Segunda Turma Ordinária da Terceira Câmara da Primeira Seção,Primeira Seção de Julgamento,Wed Nov 21 00:00:00 UTC 2018,Mon Jan 14 00:00:00 UTC 2019,,1302-000.693,"Vistos, relatados e discutidos os presentes autos. Resolvem os membros do colegiado, por unanimidade de votos, converter o julgamento em diligência, nos termos do voto do relator. (assinado digitalmente) Luiz Tadeu Matosinho Machado - Presidente. (assinado digitalmente) Marcos Antonio Nepomuceno Feitosa - Relator. Participaram da sessão de julgamento os conselheiros: Carlos Cesar Candal Moreira Filho, Marcos Antonio Nepomuceno Feitosa (Relator), Paulo Henrique Silva Figueiredo, Rogério Aparecido Gil, Maria Lucia Miceli, Gustavo Guimarães da Fonseca, Flávio Machado Vilhena Dias, e Luiz Tadeu Matosinho Machado (Presidente).",MARCOS ANTONIO NEPOMUCENO FEITOSA
http://acordaos.economia.gov.br/acordaos2/pdfs/processados/10120000862201018_6050082.pdf,10120.000862/2010-18,Primeira Turma Ordinária da Quarta Câmara da Primeira Seção,Primeira Seção de Julgamento,Wed Jul 17 00:00:00 UTC 2019,Mon Aug 19 00:00:00 UTC 2019,"ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ) Ano-calendário: 2006, 2007 IRPJ. INSUFICIÊNCIA DE DECLARAÇÃO/RECOLHIMENTO. Configura a infração de insuficiência de declaração/recolhimento o montante de débito de IRPJ declarado em DIPJ, incontroverso nos autos, que não foi declarado em DCTF ou DCOMP ou recolhido espontaneamente. ASSUNTO: CONTRIBUIÇÃO SOCIAL SOBRE O LUCRO LÍQUIDO (CSLL) Ano-calendário: 2006, 2007 CSLL. INSUFICIÊNCIA DE DECLARAÇÃO/RECOLHIMENTO. Configura a infração de insuficiência de declaração/recolhimento o montante de débito de CSLL declarado em DIPJ, incontroverso nos autos, que não foi declarado em DCTF ou DCOMP ou recolhido espontaneamente.",1401-003.601,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, negar provimento ao recurso voluntário (documento assinado digitalmente) Luiz Augusto de Souza Gonçalves - Presidente (documento assinado digitalmente) Carlos André Soares Nogueira - Relator (documento assinado digitalmente) Participaram do presente julgamento os Conselheiros: Abel Nunes de Oliveira Neto, Daniel Ribeiro Silva, Cláudio de Andrade Camerano, Luciana Yoshihara Arcangelo Zanin, Carlos André Soares Nogueira (relator), Letícia Domingues Costa Braga, Mauritânia Elvira de Sousa Mendonça (suplente convocada), Luiz Augusto de Souza Gonçalves (presidente). Ausente o conselheiro Eduardo Morgado Rodrigues.",CARLOS ANDRE SOARES NOGUEIRA
http://acordaos.economia.gov.br/acordaos2/pdfs/processados/13804000844200306_6064247.pdf,13804.000844/2003-06,Segunda Turma Ordinária da Terceira Câmara da Primeira Seção,Primeira Seção de Julgamento,Thu Aug 15 00:00:00 UTC 2019,Mon Sep 23 00:00:00 UTC 2019,"ASSUNTO: IMPOSTO SOBRE A RENDA DE PESSOA JURÍDICA (IRPJ) Ano-calendário: 2002 COMPENSAÇÃO - AUSÊNCIA DE COMPROVAÇÃO DA CERTEZA E LIQUIDEZ DO CRÉDITO - NÃO HOMOLOGAÇÃO. A ausência de comprovação do crédito líquido e certo, requisitos necessários para o reconhecimento do direito creditório, conforme o previsto no art. 170 da Lei nº 5.172/66 do Código Tributário Nacional, acarreta na não homologação das compensações. ASSUNTO: CONTRIBUIÇÃO SOCIAL SOBRE O LUCRO LÍQUIDO (CSLL) Ano-calendário: 2002 DECADÊNCIA. ANÁLISE DO CRÉDITO. INOCORRÊNCIA. Não se submetem à prazo decadencial a análise dos saldos negativos de IRPJ e da CSLL apurados nas declarações apresentadas, a serem regularmente comprovados pelo sujeito passivo, quando objeto de declaração de compensação, devendo, para tanto, ser mantida a documentação pertinente até que encerrados os processos que tratam da utilização daquele crédito. COMPENSAÇÃO - AUSÊNCIA DE COMPROVAÇÃO DA CERTEZA E LIQUIDEZ DO CRÉDITO - NÃO HOMOLOGAÇÃO. A ausência de comprovação do crédito líquido e certo, requisitos necessários para o reconhecimento do direito creditório, conforme o previsto no art. 170 da Lei nº 5.172/66 do Código Tributário Nacional, acarreta na não homologação das compensações.",1302-003.898,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em rejeitar a preliminar de decadência suscitada e, no mérito, em negar provimento ao recurso voluntário, nos termos do relatório e voto da relatora. (assinado digitalmente) Luiz Tadeu Matosinho Machado - Presidente. (assinado digitalmente) Maria Lúcia Miceli - Relatora. Participaram da sessão de julgamento os conselheiros: Luiz Tadeu Matosinho Machado, Ricardo Marozzi Gregorio, Paulo Henrique Silva Figueiredo, Rogério Aparecido Gil, Maria Lúcia Miceli, Flávio Machado Vilhena Dias, Breno do Carmo Moreira Vieira e Gustavo Guimarães da Fonseca.",MARIA LUCIA MICELI
