,RAIZ,identificador,situação cadastral,data situacao,motivo situacao,data início atividade,cnae principal,logradouro,numero,bairro,cep,uf,municipio
426,92762343,1,2,19990922,0,19730917,4711302,JUCA BATISTA,1020,IPANEMA,91770000.0,RS,8801
427,03341345,1,2,20051103,0,19990816,4661300,MARCIANO PIRES,1029,DISTRITO INDUSTRIAL,38740001.0,MG,4961
433,00169743,1,2,20031004,0,19940802,4110700,JOAO MANOEL,600,CENTRO,7400610.0,SP,6177
437,03497401,1,2,20051022,0,19870513,8011101,SAAN QUADRA 3,1240,ZONA INDUSTRIAL,70632300.0,DF,9701
443,05200225,1,4,20190226,63,19760407,8011101,DO UTINGA,301,DO CURIO UTINGA,66610010.0,PA,427
444,00252713,1,2,20020720,0,19941020,4712100,OLAVO BILAC,91,PIRABEIRABA,89239100.0,SC,8179
445,00258857,1,2,20051103,0,19941020,7739099,VENEZUELA,575,CENTRO,9030310.0,SP,7057
446,05230601,1,2,20020812,0,20020812,6630400,DE BOTAFOGO,501,BOTAFOGO,22250040.0,RJ,6001
448,01913970,1,8,20090226,2,19970618,6463800,"PR 025 KM 6,75",SN,CAMPO LG DA ROSEIRA,83183000.0,PR,7885
449,05286644,1,2,20020916,0,20020916,6491300,MARECHAL RONDON 1636,1636,CENTRO,79002915.0,MS,9051
451,00329010,1,2,20051103,0,19941205,2222600,SIQUEIRA CAMPOS,1800-B,SANTA LUZIA,13720000.0,SP,7095
475,97748958,1,2,20051103,0,19660803,1531901,"RS 239, KM.28,4",3600,FUNIL,95630000.0,RS,9825
914,00560366,1,8,20071219,4,19950419,3511501,DOS ANDRADAS,1.093,SANTA EFIGENIA,30120010.0,MG,4123
942,00595322,1,2,20051103,0,19800702,1931400,BR  060,S/N,ZONA  RURAL,75950000.0,GO,9429
943,02216104,1,2,20050108,0,19971021,2062200,BR 101,S/N,CANADA,59162000.0,RN,1841
953,02233622,1,2,20051103,0,19971113,4511104,CENTRO 00375A,00375A,CIA SUL,43700000.0,BA,3913
956,00625841,1,2,20051103,0,19950512,4213800,FIGUEIRA DE MELLO,106,CENTRO,25625120.0,RJ,5877
972,03970326,1,2,20050827,0,20000803,2031200,"H, QUADRA H",S/N,POLOPLAST,42800970.0,BA,3413
994,02301755,1,2,20051103,0,19971111,8011101,PASSEIO DAS QUARESMEIRAS,211,PARQUE FABER,13561350.0,SP,7079
1018,00752970,1,2,20031004,0,19950814,4789099,PRESIDENTE KENNEDY,960,BAIRRO BARCELONA,9550160.0,SP,7077
1022,02380966,1,2,20051103,0,19980213,6021700,JOSE MARQUES FONTES,1265,INDIANOPOLIS,55026675.0,PE,2381
1052,04154059,1,2,20051103,0,20001123,6311900,JATAI,1150,NOSSA SENHORA APARECIDA,38400679.0,MG,5403
