Número do processo,Turma,Seção,Data da sessão,Data da publicação,Número da decisão,Decisão,Nome do relator,CNPJ,Razao Social,Nat. Jur.,Qual. Resp.,Capital,Porte,situação cadastral,data início atividade,cnae principal,bairro,cep,uf,municipio,CNAE fiscal - descricao,Classificação,nj_2,nj_3,qr_5,qr_10,qr_12,qr_13,qr_16,qr_17,qr_28,qr_49,qr_50,qr_64,qr_65,"cn_ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL","cn_AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS",cn_ALIMENTAÇÃO,cn_ALOJAMENTO,cn_ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS,cn_ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,"cn_ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS","cn_ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE","cn_ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA",cn_ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,cn_ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS,cn_ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO,cn_ATIVIDADES DE RÁDIO E DE TELEVISÃO,cn_ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,cn_ATIVIDADES DE SERVIÇOS FINANCEIROS,"cn_ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO",cn_ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO,cn_ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER,cn_ATIVIDADES IMOBILIÁRIAS,"cn_ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",cn_ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL,"cn_CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA","cn_COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS",cn_COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,"cn_COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",cn_COMÉRCIO VAREJISTA,cn_CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,cn_CONSTRUÇÃO DE EDIFÍCIOS,cn_EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO,cn_EDUCAÇÃO,"cn_ELETRICIDADE, GÁS E OUTRAS UTILIDADES",cn_ERRO,cn_ESGOTO E ATIVIDADES RELACIONADAS,cn_FABRICAÇÃO DE BEBIDAS,"cn_FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL","cn_FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS","cn_FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",cn_FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS,"cn_FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS",cn_FABRICAÇÃO DE MÓVEIS,"cn_FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES",cn_FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,cn_FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO,cn_FABRICAÇÃO DE PRODUTOS DE MADEIRA,"cn_FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",cn_FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,cn_FABRICAÇÃO DE PRODUTOS DIVERSOS,cn_FABRICAÇÃO DE PRODUTOS DO FUMO,cn_FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS,cn_FABRICAÇÃO DE PRODUTOS QUÍMICOS,cn_FABRICAÇÃO DE PRODUTOS TÊXTEIS,"cn_FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS",cn_IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES,"cn_MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS",cn_METALURGIA,cn_OBRAS DE INFRA-ESTRUTURA,cn_ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,cn_OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS,"cn_OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",cn_PESQUISA E DESENVOLVIMENTO CIENTÍFICO,"cn_PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",cn_PUBLICIDADE E PESQUISA DE MERCADO,cn_REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS,"cn_SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE","cn_SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA",cn_SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS,cn_SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO,"cn_SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS",cn_SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO,cn_SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,cn_TELECOMUNICAÇÕES,cn_TRANSPORTE AQUAVIÁRIO,cn_TRANSPORTE AÉREO,cn_TRANSPORTE TERRESTRE,cl_negado,cl_parcial,cl_provido,pt_1.0,pt_3.0,pt_5.0
10935.903062/2009-24,Primeira Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,11/09/2019,07/10/2019,1001-001.415,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em negar provimento ao Recurso Voluntário. (assinado digitalmente) Sérgio Abelson  Presidente (assinado digitalmente) Andréa Machado Millan - Relatora. Participaram da sessão de julgamento os conselheiros: Sérgio Abelson, Andréa Machado Millan, Jose Roberto Adelino da Silva e André Severo Chaves.",ANDREA MACHADO MILLAN,77.878.023/0001-28,EMPRESA DE DESENVOLVIMENTO URBANO E RURAL DE TOLEDO,2011.0,10.0,"0,00",5.0,2.0,19850111.0,4213800.0,JARDIM PORTO ALEGRE,85907000.0,PR,7927.0,OBRAS DE INFRA-ESTRUTURA,negado,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16306.000156/2008-51,Segunda Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,07/11/2019,05/12/2019,1002-000.917,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por voto de qualidade, em negar provimento ao recurso, vencidos os conselheiros Thiago Dayan da Luz Barros e Marcelo José Luz de Macedo (relator) que deram provimento parcial, para superar o óbice do erro material, reconhecendo que o saldo negativo utilizado para compensar estimativa de novembro de 2001 se refere ao ano-calendário de 1997, determinando, dessa forma, a remessa dos autos à DRF para análise do conteúdo do crédito pleiteado, à luz dessa nova realidade, oportunizando ao contribuinte, ainda, a apresentação de documentos e esclarecimentos. Designado para redigir o voto vencedor o conselheiro Rafael Zedral. (documento assinado digitalmente) Ailton Neves da Silva - Presidente (documento assinado digitalmente) Marcelo Jose Luz de Macedo - Relator (documento assinado digitalmente) Rafael Zedral  Relator designado. Participaram do presente julgamento os Conselheiros: Ailton Neves da Silva (Presidente), Rafael Zedral, Marcelo Jose Luz de Macedo e Thiago Dayan da Luz Barros",MARCELO JOSE LUZ DE MACEDO,35.765.817/0001-35,UNIBANCO EMPREENDIMENTOS LTDA,2062.0,5.0,"48488996,50",5.0,8.0,19890726.0,6822600.0,PARQUE JABAQUARA,4344902.0,SP,7107.0,ATIVIDADES IMOBILIÁRIAS,parcial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10865.003558/2008-96,1ª TURMA/CÂMARA SUPERIOR REC. FISCAIS,Câmara Superior de Recursos Fiscais,10/04/2019,04/06/2019,9101-004.112,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em conhecer do Recurso Especial e, no mérito, por voto de qualidade, em dar-lhe provimento, vencidos os conselheiros Luis Fabiano Alves Penteado (relator), Cristiane Silva Costa, Demetrius Nichele Macei e Lívia De Carli Germano, que lhe negaram provimento. Designada para redigir o voto vencedor a conselheira Viviane Vidal Wagner. (assinado digitalmente) Adriana Gomes Rêgo - Presidente (assinado digitalmente) Luis Fabiano Alves Penteado - Relator (assinado digitalmente) Viviane Vidal Wagner - Redatora Designada Participaram da sessão de julgamento os conselheiros: André Mendes de Moura, Cristiane Silva Costa, Rafael Vidal de Araújo, Demetrius Nichele Macei, Viviane Vidal Wagner, Luis Fabiano Alves Penteado, Lívia De Carli Germano e Adriana Gomes Rêgo (Presidente).",LUIS FABIANO ALVES PENTEADO,56.883.820/0001-23,EMBRAMACO EMPRESA BRASILEIRA DE MATERIAIS PARA CONSTRUCAO  SA,2054.0,10.0,"44154719,00",5.0,2.0,19660906.0,4744099.0,SANTA CATARINA,13510204.0,SP,7035.0,COMÉRCIO VAREJISTA,provido,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
10680.721113/2007-79,Segunda Turma Ordinária da Terceira Câmara da Primeira Seção,Primeira Seção de Julgamento,11/06/2019,03/07/2019,1302-003.615,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em acolher a preliminar de nulidade parcial do acórdão recorrido, suscitada de ofício pelo relator; e, no mérito, em negar provimento ao recurso voluntário, nos termos do relatório e voto do relator. (documento assinado digitalmente) Luiz Tadeu Matosinho Machado - Presidente (documento assinado digitalmente) Paulo Henrique Silva Figueiredo - Relator Participaram do presente julgamento os conselheiros Paulo Henrique Silva Figueiredo, Gustavo Guimarães da Fonseca, Ricardo Marozzi Gregório, Rogério Aparecido Gil, Maria Lúcia Miceli, Flávio Machado Vilhena Dias, Marcelo José Luz de Macedo (Suplente convocado) e Luiz Tadeu Matosinho Machado (Presidente).",PAULO HENRIQUE SILVA FIGUEIREDO,17.197.385/0001-21,ZURICH MINAS BRASIL SEGUROS S.A.,2054.0,16.0,"2476010277,08",5.0,2.0,19381209.0,6511101.0,FUNCIONARIOS,30112021.0,MG,4123.0,"SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE",parcial,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10120.000862/2010-18,Primeira Turma Ordinária da Quarta Câmara da Primeira Seção,Primeira Seção de Julgamento,17/07/2019,19/08/2019,1401-003.601,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, negar provimento ao recurso voluntário (documento assinado digitalmente) Luiz Augusto de Souza Gonçalves - Presidente (documento assinado digitalmente) Carlos André Soares Nogueira - Relator (documento assinado digitalmente) Participaram do presente julgamento os Conselheiros: Abel Nunes de Oliveira Neto, Daniel Ribeiro Silva, Cláudio de Andrade Camerano, Luciana Yoshihara Arcangelo Zanin, Carlos André Soares Nogueira (relator), Letícia Domingues Costa Braga, Mauritânia Elvira de Sousa Mendonça (suplente convocada), Luiz Augusto de Souza Gonçalves (presidente). Ausente o conselheiro Eduardo Morgado Rodrigues.",CARLOS ANDRE SOARES NOGUEIRA,01.107.050/0001-35,AUGE ENGENHARIA LTDA,2062.0,49.0,"7000000,00",3.0,2.0,19960322.0,4299599.0,ST STA GENOVEVA,74670600.0,GO,9373.0,OBRAS DE INFRA-ESTRUTURA,negado,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13804.000844/2003-06,Segunda Turma Ordinária da Terceira Câmara da Primeira Seção,Primeira Seção de Julgamento,15/08/2019,23/09/2019,1302-003.898,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em rejeitar a preliminar de decadência suscitada e, no mérito, em negar provimento ao recurso voluntário, nos termos do relatório e voto da relatora. (assinado digitalmente) Luiz Tadeu Matosinho Machado - Presidente. (assinado digitalmente) Maria Lúcia Miceli - Relatora. Participaram da sessão de julgamento os conselheiros: Luiz Tadeu Matosinho Machado, Ricardo Marozzi Gregorio, Paulo Henrique Silva Figueiredo, Rogério Aparecido Gil, Maria Lúcia Miceli, Flávio Machado Vilhena Dias, Breno do Carmo Moreira Vieira e Gustavo Guimarães da Fonseca.",MARIA LUCIA MICELI,61.188.488/0001-17,GIVAUDAN DO BRASIL LTDA.,2062.0,5.0,"345381032,00",5.0,2.0,19660712.0,2093200.0,JAGUARE,5321901.0,SP,7107.0,FABRICAÇÃO DE PRODUTOS QUÍMICOS,negado,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10950.902990/2009-83,Segunda Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,18/01/2019,08/02/2019,1002-000.596,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em dar provimento parcial ao Recurso Voluntário, e declarar a nulidade da decisão de primeiro grau do contencioso administrativo fiscal, determinando o retorno dos autos à DRJ para que se profira nova decisão. (assinado digitalmente) Ailton Neves da Silva - Presidente. (assinado digitalmente) Leonam Rocha de Medeiros - Relator. Participaram da sessão de julgamento os conselheiros: Ailton Neves da Silva (Presidente), Ângelo Abrantes Nunes, Breno do Carmo Moreira Vieira e Leonam Rocha de Medeiros.",LEONAM ROCHA DE MEDEIROS,81.715.716/0001-77,UNIMED REGIONAL DE CAMPO MOURAO - COOPERATIVA DE TRABALHO MEDICO,2143.0,16.0,"0,00",5.0,2.0,19891226.0,6550200.0,CENTRO,87300020.0,PR,7483.0,"SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE",parcial,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
13629.900737/2013-11,Primeira Turma Ordinária da Quarta Câmara da Primeira Seção,Primeira Seção de Julgamento,16/05/2019,13/06/2019,1401-003.458,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, dar provimento ao recurso voluntário para reconhecer o direito creditório relativo a saldo negativo de IRPJ e CSLL do exercício 2012, ano-calendário 2011, nos valores originais de R$ 256.463,51 e R$ 160.625,72, respectivamente, homologando as compensações declaradas neste processo até o limite dos valores reconhecidos. O julgamento deste processo segue a sistemática dos recursos repetitivos. Portanto, aplica-se o decidido no julgamento do processo 13629.900731/2013-44, paradigma ao qual o presente processo foi vinculado. Luiz Augusto de Souza Gonçalves - Presidente e Relator (assinado digitalmente) Participaram da sessão de julgamento os conselheiros: Luiz Augusto de Souza Gonçalves, Carlos André Soares Nogueira, Abel Nunes de Oliveira Neto, Cláudio de Andrade Camerano, Luciana Yoshihara Arcangelo Zanin, Daniel Ribeiro Silva, Letícia Domingues Costa Braga e Eduardo Morgado Rodrigues.",LUIZ AUGUSTO DE SOUZA GONCALVES,19.160.126/0001-51,FERMAG FERRITAS MAGNETICAS LTDA,2062.0,49.0,"1002168,00",5.0,2.0,19760412.0,2019399.0,PRAIA,35900271.0,MG,4633.0,FABRICAÇÃO DE PRODUTOS QUÍMICOS,provido,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
10930.901639/2008-22,Terceira Turma Extraordinária da Primeira Seção,Primeira Seção de Julgamento,07/05/2019,23/05/2019,1003-000.662,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, Acordam os membros do colegiado, por unanimidade de votos, em dar provimento parcial ao recurso, para reconhecer como crédito de saldo negativo de IRPJ do exercício 2004 o valor de R$ 4.821,38, com o retorno dos autos à unidade de origem para compensação do débito informado na PER/DCOMP até o limite do crédito aqui reconhecido. (assinado digitalmente) Carmen Ferreira Saraiva - Presidente. (assinado digitalmente) Wilson Kazumi Nakayama - Relator. Participaram da sessão de julgamento os conselheiros: Barbara Santos Guedes, Mauritânia Elvira de Sousa Mendonça, Wilson Kazumi Nakayama e Carmen Ferreira Saraiva( (Presidente)",WILSON KAZUMI NAKAYAMA,79.580.437/0001-00,MARCO AVICULTURA LTDA,2062.0,49.0,"16934523,00",5.0,2.0,19860910.0,155502.0,ZONA RURAL.,86125000.0,PR,884.0,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",parcial,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15374.964105/2009-64,Segunda Turma Ordinária da Terceira Câmara da Primeira Seção,Primeira Seção de Julgamento,13/06/2019,29/07/2019,1302-003.701,"Vistos, relatados e discutidos os presentes autos. Acordam os membros do colegiado, por unanimidade de votos, em dar provimento parcial ao recurso voluntário, nos termos do relatório e voto do relator. O julgamento deste processo segue a sistemática dos recursos repetitivos. Portanto, aplica-se o decidido no julgamento do processo 15374.964111/2009-11, paradigma ao qual o presente processo foi vinculado. (assinado digitalmente) Luiz Tadeu Matosinho Machado - Presidente e Relator. Participaram da sessão de julgamento os conselheiros: Luiz Tadeu Matosinho Machado, Ricardo Marozzi Gregorio, Paulo Henrique Silva Figueiredo, Rogério Aparecido Gil, Maria Lúcia Miceli, Flávio Machado Vilhena Dias, Marcelo José Luz de Macedo (Suplente convocado) e Gustavo Guimarães da Fonseca.",LUIZ TADEU MATOSINHO MACHADO,01.855.536/0001-51,SYNAPSIS BRASIL S/A,2054.0,10.0,"24087326,89",5.0,8.0,19970507.0,6204000.0,CENTRO,61760000.0,CE,1247.0,ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO,parcial,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
